product_id,product_category_name_english,product_weight,product_dimension_m³,product_mass,avg_delay_in_days
0d94e21c8156ffa3dcb77cb1d456ef80,cool_stuff,0.0500,0.2270,4.53962000,NULL
5adec774989986e22714470345c20469,garden_tools,0.0500,0.1802,3.60360000,NULL
7ddb76f2c7237acc852358b95e7946a8,stationery,0.0020,0.0063,3.14600000,6.0000
5837bba0ce6e35e6f2dc5c3e223e3276,furniture_decor,0.0020,0.0063,3.14600000,6.0000
8aae4df46baf1278422b69edbb50bd35,furniture_decor,0.0020,0.0063,3.14600000,25.0000
f9fafac43d3416d92ecc303fdeb1743d,furniture_decor,0.0020,0.0063,3.14600000,1.0000
ad7d07f5775feab3f20504d1ad3fff11,furniture_decor,0.0020,0.0063,3.14600000,16.0000
61d980017b9f55ac2451dbf0bdb849f2,office_furniture,0.0500,0.1418,2.83500000,NULL
cdad30e46a6fc84785a525ad6b5cf748,kitchen_dining_laundry_garden_furniture,0.0500,0.1260,2.52000000,NULL
984a3b9f9bb4c8feb319da951212696e,cool_stuff,0.0500,0.0600,1.20000000,NULL
c2a241928535e097a96aa157dfaa86b5,home_construction,0.0500,0.0595,1.18976000,0.0000
632921e8d6c6b23ae47ff20950a56854,bed_bath_table,0.0250,0.0284,1.13400000,17.3333
2cfec57b3d2ea171bceca7aef38d044a,market_place,0.0500,0.0480,0.96000000,NULL
b8fd372c103037c02e9898f76ba0ab4c,cool_stuff,0.1300,0.0875,0.67307692,18.0000
437ae72c066abf24996b52549bbb6432,industry_commerce_and_business,0.3000,0.2000,0.66666667,6.0000
8daf2f80c6d552efdb1012683beb10cf,furniture_bedroom,0.0500,0.0317,0.63336000,NULL
3ada827a3b82590816ffa9741fa4bd03,furniture_decor,0.2000,0.1260,0.63000000,NULL
f128effc5b8e4d1f23069c06f855643a,pet_shop,0.1100,0.0640,0.58181818,NULL
f1aa9d01a0ddad2937f722cb61abc03f,auto,0.0500,0.0270,0.54000000,NULL
ad53b74739180a632354ce9cb16bbdde,auto,0.0500,0.0270,0.54000000,NULL
15151e8a937f6a4d1a4f0c03c765c6f2,garden_tools,0.0500,0.0247,0.49368000,22.0000
4941b2c06706332ebfd9072d7b1fb23c,others,0.0500,0.0243,0.48576000,8.0000
0d146484c69d613fe015c0229056b065,furniture_decor,0.1000,0.0480,0.48000000,2.5000
5aad359a63cbb4fc35ead44346a3eeb4,furniture_decor,0.1000,0.0480,0.48000000,1.2941
af35be35db4ad0dc288b571453337376,furniture_decor,0.1000,0.0480,0.48000000,4.0000
62f423e57a8c157d3877ee5867d7db88,computers_accessories,0.0500,0.0225,0.45000000,15.1429
628cfb8a45c95a7b796ea06b006e9384,auto,0.0500,0.0200,0.39900000,22.0000
90aaf7f993470e411207adabf5b998b6,computers_accessories,0.0500,0.0180,0.36000000,13.4545
db272366bfa82333abe0da87ae7735d3,health_beauty,0.3300,0.1115,0.33800000,10.0000
b7c82520f8817fc72f7f5ac962035260,housewares,0.0500,0.0156,0.31250000,12.0000
2033f8047e20d2a47e76d9fa1d05fca2,sports_leisure,0.0500,0.0156,0.31250000,5.0000
35d0f73a54eea897499ea2b516fee147,sports_leisure,0.0500,0.0156,0.31250000,6.0000
3e37c91440010c93d96718a9e6a33b8d,sports_leisure,0.0500,0.0155,0.31050000,NULL
0352f26fa462bd615275f3e91857926d,office_furniture,0.2500,0.0737,0.29484000,11.0000
4c9947d0ce5a7e1e55898f6047c604e1,computers_accessories,0.1250,0.0338,0.27060000,8.0000
b07d64d413a7a5f5dac72fc60b3b14ca,construction_tools_construction,0.0500,0.0135,0.27040000,3.0000
e708a48b26e6681db248ca125459d365,construction_tools_construction,0.1000,0.0270,0.27000000,7.0000
726d7fdfe0fa5d6f13f13c47ddf88d8b,bed_bath_table,0.2750,0.0730,0.26530909,9.0000
b56ff361e0733eebc1d010432936b706,baby,0.2000,0.0525,0.26250000,-10.0000
501c6da13fd2e5d497c42b29eeddc95d,furniture_decor,0.2000,0.0510,0.25500000,19.0000
76175ac01298ca4e3db29f07a0a33978,pet_shop,0.0650,0.0163,0.25000000,29.0000
b17808303e15dd50538c011b44295427,bed_bath_table,1.0500,0.2524,0.24038286,9.8750
84ebb1fd3f66392b5fad4d56abc35f15,garden_tools,0.0500,0.0120,0.24000000,NULL
317a8d8e17b2b10b8074de17b3ca6073,furniture_decor,0.1000,0.0236,0.23625000,8.0000
b47f5cf2e99655cfc404520cb7553e2a,market_place,0.1500,0.0350,0.23333333,10.0000
8cf9973ba86ba4067dc5de39d247c47d,auto,0.1000,0.0232,0.23166000,17.0000
28e9bae875be608d290966c72d2d7f73,auto,0.1000,0.0232,0.23166000,8.0000
c4a1c4638fa9e2e4861d141d6e0259e7,housewares,0.0500,0.0114,0.22896000,NULL
c89e8c067337f726514a8ef42a523811,furniture_decor,0.1000,0.0225,0.22528000,9.0000
442c4ff18b437710dbb8ca943e7ac401,sports_leisure,0.0750,0.0168,0.22400000,40.0000
9e8aaef7103f42e3834092cc00dbbb71,perfumery,0.1000,0.0219,0.21875000,14.0000
73a6e085799e9c92a2c854ec9627b28f,computers_accessories,0.0500,0.0108,0.21504000,NULL
cf8c588a4b9b7599aa4807e78bbc65a9,computers_accessories,0.0500,0.0106,0.21120000,NULL
f1f47f712d19a52644c70a297ee0e27c,furniture_decor,0.1000,0.0210,0.21000000,14.0000
b7dbb2c93670c4764ab45c860d999d74,garden_tools,0.0500,0.0104,0.20700000,-2.0000
43549c728834f6804c2a32ef08c086ff,home_construction,0.1000,0.0205,0.20480000,-9.0000
d9ef8862928998b3921fa52eb30c5fe2,health_beauty,0.1000,0.0204,0.20412000,5.0000
282606dd11c6108bfa47f0e4b0918cfc,home_appliances,0.5000,0.1012,0.20240000,21.0000
baf59a3a8f15ea34f04394f44bad573a,bed_bath_table,0.4500,0.0888,0.19722667,8.0000
5826c594c45085cd13caed28e97a0133,auto,0.2000,0.0394,0.19676500,-56.0000
86032b927304e96f4d4a9aa72104d70f,baby,0.2500,0.0480,0.19200000,12.6667
86bddf117876feb2e7ab68191c9b8bb1,computers_accessories,0.0500,0.0095,0.18900000,NULL
e3baa4e51fbac37d48e70a8544895c1a,computers_accessories,0.0500,0.0095,0.18900000,NULL
0c6b9534cc890c423ef8c3dc34517df5,computers_accessories,0.0500,0.0095,0.18900000,NULL
05de46958121361ff78e2a9812db6778,home_appliances,0.3000,0.0564,0.18783333,6.0000
e1ecd7384e97b1ca3f7b1601c78728c9,housewares,0.5000,0.0911,0.18225000,-5.0000
17455fdde89549b744a53cffa8eb67f9,construction_tools_construction,0.0500,0.0091,0.18150000,NULL
ea8b738ef7a9baaf574870d6041ebf52,housewares,0.2000,0.0360,0.18000000,-17.0000
a7c71ae3c8f9ee009eaf1bdcffa55012,auto,0.1500,0.0270,0.18000000,15.0000
f63e5eb82736ac58d9d286f64fe5c44f,pet_shop,0.1000,0.0180,0.18000000,21.3333
b4c8d3313b98fd124a787b571ac94148,housewares,0.2000,0.0360,0.18000000,12.0000
362aecb999551eb6adcd8c5594e255fc,consoles_games,0.2000,0.0359,0.17968500,NULL
a6f1c622ba2df1146e04690cb9622288,stationery,0.1500,0.0255,0.17010000,6.0000
94b8c08d077273b9896ca6461d4e6e1e,sports_leisure,0.1000,0.0166,0.16560000,13.0000
43979b70f75394b51866db74a0b9ce7d,housewares,0.3500,0.0569,0.16246286,-0.7500
293637be1a5ab3bd138fb6b758100e7c,housewares,0.1500,0.0243,0.16184000,1.0000
2ec4063419591b373f7990da94fb2c6c,telephony,0.0500,0.0080,0.16000000,NULL
320e20e13905991b0d83e8f181fcc196,furniture_decor,0.3000,0.0480,0.16000000,14.0000
20c3404e9bea9621d876e152794ba2d1,pet_shop,0.1500,0.0240,0.16000000,14.5000
d27144c40fa89d288b74adfd0e20db91,furniture_decor,0.3000,0.0480,0.16000000,9.0000
d537e54e990d95194a5733e79f1af1aa,sports_leisure,0.0500,0.0080,0.16000000,9.9000
c22dc992a198753e51e4a25f83957b9b,furniture_decor,0.3000,0.0480,0.16000000,12.0000
be4f6fe1a36e3a7abc3c966be0925070,furniture_decor,0.3000,0.0480,0.16000000,11.5000
f142a5ca78eb112cafbcf29f9a43eca7,telephony,0.0500,0.0080,0.16000000,NULL
9d5cb049d3a927647b8c105a67bce2ef,perfumery,0.0500,0.0080,0.16000000,17.0000
93e0df39afbe96d9194642c0b9330c60,furniture_decor,0.3000,0.0480,0.16000000,9.0000
0ad6795586afdad1281b3884f2611ca6,construction_tools_construction,0.2500,0.0396,0.15840000,42.0000
8fb53b50707bbdc789037c2c9500ec4e,baby,0.1000,0.0158,0.15750000,11.0000
64d9a8168b3776844d8e4dac2a0efca3,sports_leisure,0.1000,0.0156,0.15625000,7.0000
9a8706b8c060b16e5f0d2925f20bc35b,sports_leisure,0.1000,0.0156,0.15625000,5.0000
2b79d65ddb4051238ce31fbabc5763ce,electronics,0.1000,0.0156,0.15625000,10.0000
7698e984bafd195f739522d13645012e,kitchen_dining_laundry_garden_furniture,0.2000,0.0298,0.14895500,15.0000
7fbbe412c783af7237d40b9145aa5a8b,garden_tools,0.0500,0.0074,0.14800000,17.0000
6bae58cc7b604c823271ecb0f82de699,fashion_bags_accessories,1.0000,0.1440,0.14400000,NULL
1c42962612d557f85753b24c2b97070f,computers_accessories,0.0500,0.0072,0.14400000,NULL
20d5583ac76a88720b002f353afec2d0,housewares,0.4500,0.0640,0.14222222,NULL
ac3bf6e6f3fc94d003fe0eaa8de7738d,consoles_games,0.0500,0.0069,0.13728000,10.0000
06435c7fcaee30b55bdd89feb2ec9be7,furniture_decor,0.3500,0.0480,0.13714286,10.0000
36ea81e90d1292dcdc3ad8abb09c20fe,baby,0.3500,0.0476,0.13608000,16.3333
c2904b502790c1dd0b39799f52b586c3,furniture_decor,0.1000,0.0136,0.13568000,25.0000
84f7fd2c1044599c234663aee75a2fcd,sports_leisure,0.3000,0.0407,0.13552000,19.0000
