num_orders,diff_order_and_delivery
7653,7
2633,16
6805,6
816,25
6745,8
5810,5
6039,9
3168,2
4828,4
5616,10
4673,12
2175,18
3849,3
2360,17
3170,15
5114,11
2965,NULL
1572,1
3835,14
1070,23
93,46
1491,21
659,27
371,31
4376,13
132,42
60,50
36,56
1724,20
935,24
39,54
711,26
285,35
1209,22
1816,19
294,34
196,37
16,68
118,43
233,36
162,41
2,96
24,57
336,32
119,45
110,44
586,28
37,53
143,40
316,33
12,65
435,30
66,49
472,29
52,51
1,166
15,62
8,72
17,70
66,48
37,52
163,38
32,55
77,47
167,39
9,75
26,59
14,66
2,105
6,78
1,145
2,138
9,67
12,63
3,194
18,60
8,74
1,118
10,71
12,61
2,108
22,58
1,142
1,208
5,76
13,0
3,99
8,64
10,69
1,133
4,73
1,181
1,188
2,104
6,86
1,172
1,189
1,174
2,106
1,87
4,79
1,146
5,83
2,187
1,195
2,143
1,191
2,94
2,168
2,167
1,115
1,124
1,102
4,80
1,165
1,182
3,81
2,126
2,97
3,77
1,136
1,141
1,91
2,107
1,110
1,98
1,89
2,130
1,101
1,132
4,84
1,131
1,82
1,135
1,209
1,148
1,92
3,85
1,175
3,103
1,90
1,88
1,186
1,109
1,117
1,173
1,100
