num_orders,diff_order_and_estimation
2675,15
3570,18
5988,21
1774,11
627,40
5237,24
4772,20
1263,9
1272,10
3776,28
2591,13
4781,19
2668,12
1818,34
5513,23
2881,29
4031,27
670,8
5599,22
2433,32
2404,31
2074,33
418,42
1364,35
146,50
2845,16
4859,25
4633,26
1144,36
889,37
2088,14
2905,30
635,39
334,4
134,49
839,7
451,41
3228,17
151,3
854,38
317,6
304,5
242,45
61,55
98,51
69,53
267,44
127,54
201,2
302,43
24,59
146,52
8,72
155,47
3,83
15,63
9,71
163,48
217,46
24,64
26,60
1,149
54,58
1,97
26,62
38,57
14,65
61,56
7,74
1,109
20,66
6,69
2,144
6,70
31,61
1,95
3,73
3,78
3,94
1,87
1,76
1,106
1,88
11,68
2,86
10,67
1,116
1,93
3,81
2,82
2,90
1,101
1,96
3,89
1,91
1,99
1,84
1,142
1,79
1,140
1,146
1,1
1,92
1,155
