product_category_name_english,product_id,price,num_orders
computers,34f99d82cfc355d08d8db780d14aa002,2999.99,3
computers_accessories,470433f95ba906e17efac3fce39e9ffd,2999.89,5
computers_accessories,a233df9a388d27dbdfd31731d4236db0,2649.99,2
electronics,0abc19e41fdc9d6894b8cae651619253,2470.5,3
fixed_telephony,5769ef0a239114ac3a854af00df129e4,1680,8
fixed_telephony,19936fa4f614ee0590d3b77ac83fd648,1650,6
consoles_games,e74384c9363e768848854356a37c73f4,1599,3
telephony,b1035b3d307f0aeb6157fdd3e09f8119,1520.88,2
computers,588531f8ec37e7d5ff5b7b22ea0488f8,1437,20
dvds_blu_ray,47d52bb24ef8a3aa09724f00604be3ba,1420,2
computers_accessories,e7261ba9b589b73ac45411a15058403e,1399.99,3
fixed_telephony,6d426dd1336e5a7d34470ae65bc68abf,1380,3
computers_accessories,86fb7ef6ee1ffa3832f09b1a1552e7e6,1350,2
computers,a5215a7a9f46c4185b12f38e9ddf2abc,1340,17
computers,d6160fb7873f184099d9bc95e30376af,1300,35
computers_accessories,35495b55cace6656e50bdc2b82f9d4bb,1298.99,2
computers_accessories,af751fe756699bddfce4fdd67242fc2a,1260,4
computers,bc4cd4da98dd128c39bf0b8c2674032f,1200,17
computers_accessories,e272c7b6c21c38e8ee510666a28460d4,1199,5
computers_accessories,a5d86c5969b4279aad7973985215a4e9,1140.9,2
computers_accessories,18e41d0c2a7cac6a8d53d3fcc13da3c4,1129.34,4
computers_accessories,e5188da1834c44869e7f0b1b2c0b4c14,1100,3
computers,9aedf557945e816d48539ee56293f860,1100,5
telephony,bdb0b11a36aed4d0d862a7037c838560,1099,5
computers_accessories,7ea73eb6e7e6ebb1113ba90f839b3402,1079.99,2
consoles_games,cce3ce6484896041ae3dafdd4308a39c,1004.99,9
telephony,8b52d90d2e8716dad633486c6cc94ecf,989,7
computers_accessories,aae9610f8843fbe3931dadce56c0ac94,958.99,2
consoles_games,4fee671ea459ebc96546523917e254a5,949.99,2
computers_accessories,09481a6dfe9eb590dc8b265b54dc4c97,949.9,8
computers_accessories,d982791b03ad95faaa03fc746ad04672,935,5
computers,194e74feac1f84a8ee5a517d4b3e107a,899,5
telephony,6f28f90ba66cfbdbe2b962446a0bec69,890,3
telephony,285443086e6af2a43edcd6f0274585af,887,2
telephony,95e67a8fbaf668c2d060eb3938a0c999,855,4
computers,fb8c11da2e1b1634e879d1c3c6762dc2,850,6
computers,caaa713799b547352795c831a14f1c3c,849.99,7
telephony,6767719f80aabbbf16ab2491899c32d9,839.99,5
computers_accessories,a3dae37f1227e4037d5e3be3f228bc84,838,2
computers_accessories,68fe8893052a044100e60cd0c8c6b274,830.51,3
telephony,16d928f7b23b3d30bd5a9ff281eed9b8,829,5
fixed_telephony,bde643c31f72e37dd1aac0c43e130ddc,812.99,2
computers_accessories,fe59a1e006df3ac42bf0ceb876d70969,809.1,12
telephony,a351c3c754b40be18374a299ca68882b,809,2
computers,b008888e5e01a5c9da36306228e900d1,790,5
computers_accessories,748efd895fa2f88b0c89579fb092e792,759.9,3
telephony,0d1d766e7cdd4a724e9ea9a18e5177bb,755.99,2
electronics,a300dbe48179df6ad75c74a9fd9bc6bc,749.9,2
computers_accessories,4f47791b7d4e127b53fdfceea592e926,749.9,3
computers,6e135c0c17d87c489e2f89efe42b948a,730,2
computers,e004a3b7f9524967fdb68bb70f850eb0,730,4
consoles_games,362aecb999551eb6adcd8c5594e255fc,719.88,2
computers_accessories,cd8cb942b6a58fcff9697762d3bc9cd7,708,2
consoles_games,2bfb0bdbcea77da2879f0ef3be9a219e,697.9,4
consoles_games,fb01a5fc09b9b9563c2ee41a22f07d54,689.89,24
computers_accessories,e46d3c8d60e3f8b382b6f239e5af08ac,679.12,3
